product_id,sku,name,brand,variant,category,origin,weight_kg,price_eur,in_stock,rating,num_reviews,is_food,calories_per_100g,protein_g_per_100g,sugar_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g
1,SKU-000001,HomePure Sponges Natural,HomePure,Natural,Household & Cleaning,Canada,2.68,0.68,Yes,4.0,1968,No,,,,,,,
2,SKU-000002,NaturePick Pumpkin Deluxe,NaturePick,Deluxe,Fruits & Vegetables,Spain,0.8,0.86,Yes,3.9,605,Yes,32.5,1.8,9.1,1.2,2.8,0.3,269.0
3,SKU-000003,NaturalPantry Rice (Jasmine) Sugar Free,NaturalPantry,Sugar Free,Pantry & Dry Goods,India,3.67,59.65,Yes,4.1,1485,Yes,394.1,22.0,31.5,93.6,0.4,0.1,374.0
4,SKU-000004,SeaSelect Ground Beef High Protein,SeaSelect,High Protein,Meat & Seafood,UK,2.32,90.16,Yes,2.8,3204,Yes,166.8,15.1,0.2,10.0,0.0,0.0,1182.0
5,SKU-000005,FreshFarm Strawberry Original,FreshFarm,Original,Fruits & Vegetables,Italy,0.32,1.29,Yes,4.9,3956,Yes,58.3,2.8,11.9,0.7,6.5,3.2,753.0
6,SKU-000006,NaturePick Plum Spicy,NaturePick,Spicy,Fruits & Vegetables,Germany,3.73,14.25,Yes,3.8,271,Yes,83.3,3.1,10.4,0.6,2.9,2.3,283.0
7,SKU-000007,HomeCook Rice (Jasmine) Sugar Free,HomeCook,Sugar Free,Pantry & Dry Goods,Spain,3.67,89.69,Yes,4.2,3440,Yes,466.4,23.8,3.0,72.7,4.3,0.0,1167.0
8,SKU-000008,GreenLeaf Leek High Protein,GreenLeaf,High Protein,Fruits & Vegetables,Peru,4.32,6.06,Yes,4.5,1142,Yes,18.2,2.3,13.1,1.0,3.0,1.6,998.0
9,SKU-000009,ScribblePro Notebook Light,ScribblePro,Light,Stationery & Office,South Africa,1.48,13.81,Yes,4.1,3825,No,,,,,,,
10,SKU-000010,CrunchTime Dried Apricots Vegan,CrunchTime,Vegan,Snacks & Confectionery,Netherlands,0.06,1.17,Yes,3.4,2171,Yes,518.3,14.8,36.5,48.4,3.2,0.9,948.0
11,SKU-000011,NaturePick Grapes Value Pack,NaturePick,Value Pack,Fruits & Vegetables,New Zealand,3.27,18.22,Yes,3.0,4813,Yes,78.5,0.8,11.3,0.4,4.8,3.2,724.0
12,SKU-000012,VitalCare Antiseptic Cream Light,VitalCare,Light,Health & Pharmacy,Greece,0.47,14.31,Yes,4.3,2950,No,,,,,,,
13,SKU-000013,PowerCell Flash Drive Classic,PowerCell,Classic,Electronics & Batteries,Australia,0.19,55.87,Yes,3.8,717,No,,,,,,,
14,SKU-000014,GlowCare Mouthwash Light,GlowCare,Light,Personal Care & Beauty,Australia,0.38,2.32,Yes,4.1,1959,No,,,,,,,
15,SKU-000015,FurFriends Dry Cat Food Value Pack,FurFriends,Value Pack,Pet Supplies,Spain,1.23,24.46,Yes,4.2,1914,No,,,,,,,
16,SKU-000016,GlowCare Baby Wipes Value Pack,GlowCare,Value Pack,Personal Care & Beauty,Canada,0.98,28.15,Yes,5.0,512,No,,,,,,,
17,SKU-000017,DairyPure Eggs (Organic) Light,DairyPure,Light,Dairy & Eggs,Peru,0.42,6.9,Yes,2.9,620,Yes,123.9,12.2,2.8,13.1,0.5,0.0,53.0
18,SKU-000018,NutraNat Omega-3 Fish Oil Spicy,NutraNat,Spicy,Health & Pharmacy,Poland,0.73,51.29,Yes,4.4,1147,No,,,,,,,
19,SKU-000019,PantryPro Sugar Gluten Free,PantryPro,Gluten Free,Pantry & Dry Goods,Italy,2.92,37.66,Yes,3.3,797,Yes,522.4,5.5,67.3,10.6,61.8,4.8,725.0
20,SKU-000020,FrozenFresh Frozen Corn Multipack,FrozenFresh,Multipack,Frozen Foods,Italy,0.86,12.52,Yes,4.0,4140,Yes,52.5,2.0,13.3,8.7,4.3,3.1,500.0
21,SKU-000021,EssentialCare Toner Original,EssentialCare,Original,Personal Care & Beauty,USA,0.68,34.27,Yes,3.8,4628,No,,,,,,,
22,SKU-000022,MeadowMeats Pork Chop Reduced Sugar,MeadowMeats,Reduced Sugar,Meat & Seafood,Canada,2.78,59.93,Yes,3.1,597,Yes,186.9,19.5,0.3,8.0,8.3,7.7,894.0
23,SKU-000023,VerdantVale Cream Cheese Deluxe,VerdantVale,Deluxe,Dairy & Eggs,Greece,0.58,5.04,No,3.1,2157,Yes,308.8,6.0,0.7,23.0,0.7,0.6,854.0
24,SKU-000024,RefreshCo Ginger Ale Deluxe,RefreshCo,Deluxe,Beverages,Poland,0.64,3.85,Yes,3.0,1415,Yes,41.8,0.2,9.3,0.7,5.4,5.2,772.0
25,SKU-000025,RefreshCo Green Tea Deluxe,RefreshCo,Deluxe,Beverages,Italy,1.06,3.38,Yes,3.5,2250,Yes,43.2,4.0,6.1,0.3,0.1,0.0,1135.0
26,SKU-000026,FarmGate Tilapia Classic,FarmGate,Classic,Meat & Seafood,USA,2.74,116.05,Yes,3.0,587,Yes,115.0,28.9,0.2,12.0,4.2,1.5,457.0
27,SKU-000027,VerdantVale Sour Cream Low Fat,VerdantVale,Low Fat,Dairy & Eggs,Netherlands,0.69,10.26,Yes,4.1,2787,Yes,350.9,6.0,1.3,3.0,43.1,5.7,633.0
28,SKU-000028,FreshBaked English Muffin Value Pack,FreshBaked,Value Pack,Bakery & Bread,France,0.98,8.88,Yes,4.9,816,Yes,398.5,8.7,5.6,5.7,45.6,4.0,69.0
29,SKU-000029,FrozenFresh Frozen Yogurt Organic,FrozenFresh,Organic,Frozen Foods,Colombia,2.36,9.79,Yes,3.8,1233,Yes,203.6,4.3,7.2,9.6,11.8,1.5,743.0
30,SKU-000030,MunchCo Crackers Classic,MunchCo,Classic,Snacks & Confectionery,Thailand,0.11,0.64,Yes,3.5,1062,Yes,449.7,11.5,30.5,20.6,51.3,6.7,142.0
